Lec #,Lecture video name,Video,Timestamp start,Timestamp end,Question,Expected answer
1,Lecture 1_lecture,0,48:19:00,48:23:00,"In Lecture 1, Rich presented two lists of words. What did Rich call List 2 words?",Exception words
2,Lecture 2_lecture,0,43:44:00,43:53:00,Which neurons are the biggest in the body?,Pyramidal cells
2,Lecture 2_lecture,0,44:45:00,45:06:00,How are one of Richard Ivry's favorite neurons unique? ,Purkinje cells
2,Lecture 2_lecture,0,3:31,3:50,What grade could you get in the class if you didn't open the textbook?,B
2,Lecture 2_lecture,0,10:10,10:20,What is quality of bird song correlated with? ,Neurogenesis
2,Lecture 2_lecture,0,11:30,11:34,What is the red dye labeling here?,Cell bodies in the rat hippocampus
2,Lecture 2_lecture,0,13:40,13:55,What is depicted in green in the image in the bottom right? ,A fully developed neuron
2,Lecture 2_lecture,0,16:50,18:44,What is the enriched condition for the rat experiment about promoting neurogenesis?,Rats were given exercise wheels
2,Lecture 2_lecture,0,42:27:00,42:36:00,What divides the frontal and temporal lobes?,lateral fissure | lateral sulcus
3,Lecture 3_lecture,0,3:13,3:35,What holiday did the reshuffle the syllabus for?,President's Day
3,Lecture 3_lecture,0,5:55,6:30,What brain scans did researchers use to correlate cortical thickness with intelligence? ,MRI
3,Lecture 3_lecture,0,5:55,6:30,What type of neurons did researchers use to correlate cortical thickness with intelligence? ,grey matter cell bodies (cortex)
3,Lecture 3_lecture,0,7:27,7:57,How did Rich describe the correlation over time between cortical thickness and intelligence?,non-monotopic | There is initially a negative correlation between thickness and intelligence which then reverses and becomes a positive but weak correlation
3,Lecture 3_lecture,0,9:46,12:23,"Does a deeper sulcus have more, less, or equal neurons than a shallow sulcus? ",More
3,Lecture 3_lecture,0,10:46,13:23,What features in the medial frontal sulcus allow you to tell individuals apart?,"Tertiary sulci | Tertiary sulci like these vary between individuals, either highly prominent or not prominent, and can be used to identify "
3,Lecture 3_lecture,0,14:06,14:48,What are the black dots in this figure?,stained cell bodies of neurons 
3,Lecture 3_lecture,0,15:05,15:20,"What are these numbers 1, 2, and 3 for?",Label of cell-density between layers
